row_id,window_start,node_id,phase,cpu_util,mem_pressure,disk_latency_ms,request_rate_rps,error_rate_pct,queue_depth,cache_hit_ratio,temperature_c,incident,split
19,2026-05-04 01:35:00,node-00,pre_deploy,0.6353,0.5308,13.322,105.59,0.092,8,0.9581,53.93,0,train
20,2026-05-04 01:40:00,node-00,pre_deploy,0.474,0.2594,5.774,867.48,1.3505,12,0.9338,43.75,0,train
21,2026-05-04 01:45:00,node-00,pre_deploy,0.4556,0.243,3.911,340.3,1.0594,1,0.8559,39.51,0,val
22,2026-05-04 01:50:00,node-00,pre_deploy,0.3802,0.6277,3.186,116.54,0.4557,10,0.7795,37.73,0,train
23,2026-05-04 01:55:00,node-00,pre_deploy,0.8513,0.4376,6.008,1005.97,0.8245,5,0.8936,50.6,1,val
24,2026-05-04 02:00:00,node-00,pre_deploy,0.6279,0.6323,10.059,194.15,0.6884,7,0.9335,37.19,1,train
25,2026-05-04 02:05:00,node-00,pre_deploy,0.5741,0.3441,8.267,497.99,0.116,16,0.9537,53.58,0,train
26,2026-05-04 02:10:00,node-00,pre_deploy,0.67,0.4937,4.767,600.45,0.6277,4,0.9136,43.51,0,test
27,2026-05-04 02:15:00,node-00,pre_deploy,0.7633,0.5513,3.343,943.34,0.0557,10,0.9294,49.78,0,train
28,2026-05-04 02:20:00,node-00,pre_deploy,0.6606,0.6215,7.11,127.99,0.0632,5,0.9628,46.36,0,train
29,2026-05-04 02:25:00,node-00,pre_deploy,0.7808,0.48,5.387,641.4,0.2781,3,0.9405,50.97,0,train
30,2026-05-04 02:30:00,node-00,pre_deploy,0.6647,0.8079,5.644,157.95,0.067,10,0.5283,50.3,0,train
31,2026-05-04 02:35:00,node-00,pre_deploy,0.6558,0.5727,10.912,66.97,1.1255,1,0.8398,46.56,0,val
32,2026-05-04 02:40:00,node-00,pre_deploy,0.5493,0.2376,10.536,160.44,1.0226,8,0.9646,51.18,0,train
33,2026-05-04 02:45:00,node-00,pre_deploy,0.5533,0.609,7.109,184.0,0.8469,5,0.8887,36.08,0,train
34,2026-05-04 02:50:00,node-00,pre_deploy,0.4602,0.6803,4.809,84.59,0.01,10,0.9469,44.46,0,train
35,2026-05-04 02:55:00,node-00,pre_deploy,0.7206,0.8458,6.067,151.09,0.0597,14,0.9665,45.14,0,train
36,2026-05-04 03:00:00,node-00,pre_deploy,0.3691,0.4407,3.796,110.84,1.0638,8,0.791,43.99,0,val
37,2026-05-04 03:05:00,node-00,pre_deploy,0.8469,0.8182,15.039,890.2,0.137,25,0.8888,53.98,1,test
38,2026-05-04 03:10:00,node-00,pre_deploy,0.6391,0.5348,14.034,537.43,0.0589,8,0.9182,42.48,0,test
39,2026-05-04 03:15:00,node-00,pre_deploy,0.5091,0.2988,10.057,99.75,1.443,5,0.9788,46.09,0,train
40,2026-05-04 03:20:00,node-00,pre_deploy,0.4498,0.4205,1.422,144.7,0.0177,3,0.7425,46.02,0,train
41,2026-05-04 03:25:00,node-00,pre_deploy,0.5944,0.2471,8.53,499.43,3.0134,4,0.8952,47.16,1,train
42,2026-05-04 03:30:00,node-00,pre_deploy,0.5593,0.4336,5.413,842.1,0.0228,10,0.8376,46.63,0,train
43,2026-05-04 03:35:00,node-00,pre_deploy,0.6967,0.4527,4.445,615.79,2.4412,7,0.9095,47.33,0,val
44,2026-05-04 03:40:00,node-00,pre_deploy,0.5749,0.3815,7.529,79.48,0.2104,8,0.9922,53.92,0,train
45,2026-05-04 03:45:00,node-00,pre_deploy,0.6885,0.5503,7.473,446.4,0.031,4,0.8494,45.43,0,train
46,2026-05-04 03:50:00,node-00,pre_deploy,0.8194,0.7364,4.478,791.84,0.0218,9,0.9094,47.14,0,test
47,2026-05-04 03:55:00,node-00,pre_deploy,0.5381,0.3846,4.179,319.9,0.0048,13,0.955,57.02,0,train
48,2026-05-04 04:00:00,node-00,pre_deploy,0.5849,0.6892,13.948,617.62,0.0523,24,0.8294,45.72,1,train
49,2026-05-04 04:05:00,node-00,pre_deploy,0.2572,0.2513,11.302,155.82,0.0296,16,0.9277,39.84,0,train
50,2026-05-04 04:10:00,node-00,pre_deploy,0.433,0.5442,9.675,99.01,0.0931,3,0.6864,35.86,0,val
51,2026-05-04 04:15:00,node-00,pre_deploy,0.5885,0.3852,9.128,628.67,1.4029,20,0.9594,53.56,0,test
52,2026-05-04 04:20:00,node-00,pre_deploy,0.6174,0.5522,5.83,987.51,0.2638,7,0.8293,35.63,0,train
53,2026-05-04 04:25:00,node-00,pre_deploy,0.6003,0.3147,10.31,622.26,0.4678,9,0.9608,47.59,0,train
54,2026-05-04 04:30:00,node-00,pre_deploy,0.1573,0.3194,2.958,126.56,0.4513,13,0.9038,34.33,0,train
55,2026-05-04 04:35:00,node-00,pre_deploy,0.6638,0.3335,5.78,751.06,0.5826,5,0.8287,50.05,1,test
56,2026-05-04 04:40:00,node-00,pre_deploy,0.6257,0.5818,6.94,627.52,0.2591,7,0.7655,43.06,0,train
57,2026-05-04 04:45:00,node-00,pre_deploy,0.5234,0.4602,5.737,584.81,1.6368,9,0.9729,37.11,0,test
58,2026-05-04 04:50:00,node-00,pre_deploy,0.6343,0.5039,9.771,704.17,0.601,13,0.9657,42.99,0,test
59,2026-05-04 04:55:00,node-00,pre_deploy,0.649,0.5177,5.52,108.63,0.9518,5,0.9703,49.75,0,val
60,2026-05-04 05:00:00,node-00,pre_deploy,0.4678,0.4696,11.577,124.25,0.0184,9,0.9356,43.48,0,train
61,2026-05-04 05:05:00,node-00,pre_deploy,0.6765,0.6834,6.185,1218.97,0.0199,19,0.717,45.49,1,val
62,2026-05-04 05:10:00,node-00,pre_deploy,0.6222,0.3075,13.243,695.7,0.9954,11,0.9705,45.73,0,train
63,2026-05-04 05:15:00,node-00,pre_deploy,0.5204,0.5081,9.338,579.11,0.33,8,0.8042,41.94,0,train
64,2026-05-04 05:20:00,node-00,pre_deploy,0.7307,0.9016,12.524,163.67,0.4799,11,0.8532,41.82,0,train
65,2026-05-04 05:25:00,node-00,pre_deploy,0.5613,0.2003,8.453,582.67,1.6434,8,0.9884,49.23,0,train
66,2026-05-04 05:30:00,node-00,pre_deploy,0.596,0.3929,26.201,368.22,4.0168,8,0.9366,40.55,1,train
67,2026-05-04 05:35:00,node-00,pre_deploy,0.6652,0.4715,11.405,96.2,0.7604,2,0.9701,44.34,0,test
68,2026-05-04 05:40:00,node-00,pre_deploy,0.5011,0.2171,8.05,111.66,2.8361,2,0.932,47.92,0,val
69,2026-05-04 05:45:00,node-00,pre_deploy,0.8453,0.5878,4.109,932.32,0.1364,7,0.8462,57.96,1,train
70,2026-05-04 05:50:00,node-00,pre_deploy,0.5433,0.2971,6.982,600.8,0.3706,7,0.7915,46.1,0,train
71,2026-05-04 05:55:00,node-00,pre_deploy,0.5969,0.2468,14.801,930.96,2.063,16,0.8908,47.61,0,test
72,2026-05-04 06:00:00,node-00,pre_deploy,0.5674,0.4082,15.214,333.04,0.6178,12,0.9019,47.02,0,train
73,2026-05-04 06:05:00,node-00,pre_deploy,0.7573,0.6395,10.255,886.94,0.524,6,0.881,43.0,1,train
74,2026-05-04 06:10:00,node-00,pre_deploy,0.615,0.5768,16.07,595.52,0.8607,24,0.9399,45.94,1,train
75,2026-05-04 06:15:00,node-00,pre_deploy,0.4154,0.2183,4.261,97.42,0.0775,0,0.9838,38.75,0,train
76,2026-05-04 06:20:00,node-00,pre_deploy,0.6568,0.5308,2.61,913.99,0.0815,4,0.844,41.38,0,train
77,2026-05-04 06:25:00,node-00,pre_deploy,0.7168,0.5744,17.577,783.71,2.6343,10,0.9079,44.4,1,train
78,2026-05-04 06:30:00,node-00,pre_deploy,0.7052,0.6013,7.107,192.09,2.9595,4,0.9438,42.35,0,train
79,2026-05-04 06:35:00,node-00,pre_deploy,0.638,0.5114,6.628,602.41,0.3334,14,0.9406,47.33,0,val
80,2026-05-04 06:40:00,node-00,pre_deploy,0.3314,0.4167,2.849,565.87,0.0434,15,0.7771,37.27,0,train
81,2026-05-04 06:45:00,node-00,pre_deploy,0.8013,0.4045,18.998,949.09,1.4288,15,0.9817,55.57,1,train
82,2026-05-04 06:50:00,node-00,pre_deploy,0.7156,0.6707,4.61,275.36,0.1031,4,0.8564,43.99,0,train
83,2026-05-04 06:55:00,node-00,pre_deploy,0.7705,0.7691,7.746,110.76,1.2476,5,0.9639,43.68,0,val
84,2026-05-04 07:00:00,node-00,pre_deploy,0.6384,0.3654,16.09,512.89,0.2841,8,0.9462,47.71,0,test
85,2026-05-04 07:05:00,node-00,pre_deploy,0.7855,0.8148,13.539,755.68,0.6983,23,0.9632,46.33,1,test
86,2026-05-04 07:10:00,node-00,pre_deploy,0.3668,0.5102,6.525,56.31,0.0368,4,0.9713,44.94,0,train
87,2026-05-04 07:15:00,node-00,pre_deploy,0.5496,0.4825,4.731,143.24,0.9551,3,0.7221,45.89,0,test
88,2026-05-04 07:20:00,node-00,pre_deploy,0.5178,0.5269,6.758,118.85,0.4725,6,0.9746,38.62,0,test
89,2026-05-04 07:25:00,node-00,pre_deploy,0.8566,0.7114,12.494,139.65,4.5877,3,0.869,47.47,1,test
90,2026-05-04 07:30:00,node-00,pre_deploy,0.5604,0.4322,10.346,786.68,0.2329,9,0.7739,44.0,0,train
91,2026-05-04 07:35:00,node-00,pre_deploy,0.8076,0.5076,8.532,876.12,0.7332,14,0.8312,59.39,1,train
92,2026-05-04 07:40:00,node-00,pre_deploy,0.4385,0.6002,8.968,539.86,0.9613,15,0.9862,35.54,0,val
93,2026-05-04 07:45:00,node-00,pre_deploy,0.5115,0.375,8.586,92.46,0.3389,8,0.9212,53.71,0,train
94,2026-05-04 07:50:00,node-00,pre_deploy,0.9159,0.6756,17.347,773.72,4.9072,16,0.9561,57.13,1,test
95,2026-05-04 07:55:00,node-00,pre_deploy,0.5293,0.5482,6.541,104.89,0.0052,6,0.7966,49.54,0,val
96,2026-05-04 08:00:00,node-00,pre_deploy,0.4159,0.2828,18.465,88.84,2.8369,11,0.9873,43.31,0,train
97,2026-05-04 08:05:00,node-00,pre_deploy,0.6971,0.4867,6.954,108.7,0.202,4,0.8915,55.35,0,train
98,2026-05-04 08:10:00,node-00,pre_deploy,0.8578,0.606,12.866,813.68,1.991,8,0.9237,51.79,1,test
99,2026-05-04 08:15:00,node-00,pre_deploy,0.7703,0.8533,4.224,742.89,0.2377,9,0.8297,45.53,0,train
100,2026-05-04 08:20:00,node-00,pre_deploy,0.649,0.3507,20.663,546.37,0.8745,9,0.9877,42.31,0,test
101,2026-05-04 08:25:00,node-00,pre_deploy,0.7958,0.4344,7.908,1398.09,0.6055,15,0.9838,46.57,1,train
102,2026-05-04 08:30:00,node-00,pre_deploy,0.7155,0.6787,8.382,806.85,0.3396,14,0.9405,44.18,0,val
103,2026-05-04 08:35:00,node-00,pre_deploy,0.6157,0.5969,6.188,713.24,0.0805,12,0.7415,44.85,1,val
104,2026-05-04 08:40:00,node-00,pre_deploy,0.4212,0.1708,8.643,106.73,1.9017,1,0.8552,43.89,0,train
105,2026-05-04 08:45:00,node-00,pre_deploy,0.5095,0.3645,9.19,723.46,0.3986,8,0.884,38.02,0,test
106,2026-05-04 08:50:00,node-00,pre_deploy,0.4913,0.5339,24.207,92.42,1.0653,7,0.8775,41.81,0,val
107,2026-05-04 08:55:00,node-00,pre_deploy,0.5325,0.4609,4.149,224.96,0.5461,9,0.9414,44.01,0,val
108,2026-05-04 09:00:00,node-00,pre_deploy,0.8758,0.714,5.168,527.92,0.5586,5,0.8751,56.81,0,val
109,2026-05-04 09:05:00,node-00,pre_deploy,0.5798,0.5034,9.012,636.88,0.1956,8,0.9133,39.84,0,test
110,2026-05-04 09:10:00,node-00,pre_deploy,0.389,0.4115,10.127,124.33,0.3105,7,0.8958,39.14,0,test
111,2026-05-04 09:15:00,node-00,pre_deploy,0.3382,0.3757,6.34,75.29,0.5497,3,0.8604,39.76,1,test
112,2026-05-04 09:20:00,node-00,pre_deploy,0.6779,0.2374,2.222,405.95,0.2827,2,0.9256,58.31,0,train
113,2026-05-04 09:25:00,node-00,pre_deploy,0.6715,0.5213,4.34,101.93,0.3976,4,0.9953,51.53,0,test
114,2026-05-04 09:30:00,node-00,pre_deploy,0.5315,0.777,5.812,68.36,0.1346,5,0.9961,34.63,0,test
115,2026-05-04 09:35:00,node-00,pre_deploy,0.4768,0.6293,5.105,141.48,0.165,5,0.8529,33.98,0,train
116,2026-05-04 09:40:00,node-00,pre_deploy,0.612,0.2374,7.688,879.9,0.2191,12,0.8254,54.27,0,train
117,2026-05-04 09:45:00,node-00,pre_deploy,0.7348,0.623,4.01,1033.88,0.498,18,0.897,52.68,0,train
118,2026-05-04 09:50:00,node-00,pre_deploy,0.6876,0.7588,9.029,130.83,0.5625,12,0.9909,40.52,0,train
119,2026-05-04 09:55:00,node-00,pre_deploy,0.8491,0.6075,10.018,762.5,1.3672,12,0.932,57.87,0,train
120,2026-05-04 10:00:00,node-00,pre_deploy,0.6597,0.4773,5.995,168.26,0.9975,7,0.9605,49.54,0,test
121,2026-05-04 10:05:00,node-00,pre_deploy,0.8191,0.3095,8.542,1368.37,0.3945,14,0.7912,61.97,0,train
122,2026-05-04 10:10:00,node-00,pre_deploy,0.5047,0.4561,3.154,108.52,0.1915,4,0.9086,46.38,0,train
123,2026-05-04 10:15:00,node-00,pre_deploy,0.7594,0.5366,6.109,599.92,0.5329,10,0.9785,50.89,0,train
124,2026-05-04 10:20:00,node-00,pre_deploy,0.8355,0.6122,3.084,1232.71,0.012,7,0.8821,54.0,0,train
125,2026-05-04 10:25:00,node-00,pre_deploy,0.5595,0.3461,5.228,128.83,0.0165,2,0.9088,47.03,0,train
126,2026-05-04 10:30:00,node-00,pre_deploy,0.6271,0.3609,12.032,116.74,0.9945,6,0.9059,55.49,0,val
127,2026-05-04 10:35:00,node-00,pre_deploy,0.6641,0.6044,11.756,604.08,0.4578,15,0.8796,47.32,1,val
128,2026-05-04 10:40:00,node-00,pre_deploy,0.5842,0.2177,10.422,76.07,3.6121,1,0.9701,49.71,0,train
129,2026-05-04 10:45:00,node-00,pre_deploy,0.6681,0.5464,16.528,663.28,0.5323,9,0.8429,44.29,1,train
130,2026-05-04 10:50:00,node-00,pre_deploy,0.7138,0.2386,10.13,1281.1,0.4789,14,0.8282,55.47,1,train
131,2026-05-04 10:55:00,node-00,pre_deploy,0.497,0.4157,14.149,985.29,0.9526,25,0.8983,39.85,0,train
132,2026-05-04 11:00:00,node-00,pre_deploy,0.8407,0.6493,10.819,676.66,0.0272,5,0.8368,52.39,0,train
133,2026-05-04 11:05:00,node-00,pre_deploy,0.5628,0.4688,8.476,167.45,0.1587,16,0.9907,50.99,0,train
134,2026-05-04 11:10:00,node-00,pre_deploy,0.7466,0.6149,4.902,609.54,0.0124,8,0.9315,54.69,0,train
135,2026-05-04 11:15:00,node-00,pre_deploy,0.7441,0.5763,3.146,111.89,0.1966,0,0.7975,49.42,0,test
136,2026-05-04 11:20:00,node-00,pre_deploy,0.2265,0.4652,6.131,79.33,0.5479,14,0.9731,35.84,0,test
137,2026-05-04 11:25:00,node-00,pre_deploy,0.3993,0.3945,8.949,178.9,0.3901,7,0.8754,38.36,0,train
138,2026-05-04 11:30:00,node-00,pre_deploy,0.7039,0.3057,5.555,643.07,0.113,5,0.8964,52.11,0,train
139,2026-05-04 11:35:00,node-00,pre_deploy,0.682,0.6572,8.112,97.64,0.0938,5,0.977,48.32,0,val
140,2026-05-04 11:40:00,node-00,pre_deploy,0.4898,0.4581,3.55,701.42,0.2454,8,0.9083,36.96,0,val
141,2026-05-04 11:45:00,node-00,pre_deploy,0.4578,0.4729,5.055,128.92,0.1401,8,0.9158,41.99,0,train
142,2026-05-04 11:50:00,node-00,pre_deploy,0.5922,0.2494,6.961,588.15,1.0339,16,0.9671,54.55,0,train
143,2026-05-04 11:55:00,node-00,pre_deploy,0.8083,0.4451,10.316,431.65,0.484,11,0.9988,54.62,0,test
144,2026-05-04 12:00:00,node-00,pre_deploy,0.8567,0.6173,6.296,1338.25,2.819,11,0.943,46.46,0,train
145,2026-05-04 12:05:00,node-00,pre_deploy,0.5296,0.4323,10.201,109.44,0.5692,2,0.8682,40.96,0,test
146,2026-05-04 12:10:00,node-00,pre_deploy,0.7045,0.6574,8.485,292.09,1.6057,18,0.9586,50.13,1,test
147,2026-05-04 12:15:00,node-00,pre_deploy,0.4954,0.4192,17.955,597.27,0.4652,11,0.889,39.44,0,test
148,2026-05-04 12:20:00,node-00,pre_deploy,0.7988,0.5185,13.935,1008.23,1.5806,20,0.8492,56.62,1,train
149,2026-05-04 12:25:00,node-00,pre_deploy,0.3281,0.2879,4.952,400.7,0.1055,6,0.8983,34.75,0,train
150,2026-05-04 12:30:00,node-00,pre_deploy,0.4439,0.3718,16.173,146.96,0.9544,10,0.9162,38.28,0,train
151,2026-05-04 12:35:00,node-00,pre_deploy,0.7208,0.2955,6.601,651.6,0.0112,8,0.966,59.82,0,train
152,2026-05-04 12:40:00,node-00,pre_deploy,0.6057,0.4206,12.993,1390.84,0.0769,22,0.8291,43.82,0,train
153,2026-05-04 12:45:00,node-00,pre_deploy,0.555,0.6198,8.461,109.51,0.2009,8,0.8747,44.82,0,train
154,2026-05-04 12:50:00,node-00,pre_deploy,0.7934,0.2446,24.343,745.58,3.8745,13,0.9705,57.76,1,train
155,2026-05-04 12:55:00,node-00,pre_deploy,0.6146,0.348,7.877,678.63,3.5221,9,0.8302,46.54,0,test
156,2026-05-04 13:00:00,node-00,pre_deploy,0.5943,0.3978,11.661,158.29,0.0955,6,0.792,52.55,0,train
157,2026-05-04 13:05:00,node-00,pre_deploy,0.5858,0.4152,10.333,1427.09,0.709,19,0.7775,43.89,1,val
158,2026-05-04 13:10:00,node-00,pre_deploy,0.5084,0.5319,8.669,97.78,0.7972,2,0.8119,36.26,0,val
159,2026-05-04 13:15:00,node-00,pre_deploy,0.5805,0.4826,19.676,178.42,0.0113,10,0.919,45.81,0,train
160,2026-05-04 13:20:00,node-00,pre_deploy,0.3284,0.287,3.316,130.35,0.8625,2,0.8339,33.59,0,test
161,2026-05-04 13:25:00,node-00,pre_deploy,0.3507,0.5011,8.161,91.36,0.1873,8,0.9429,40.33,0,train
162,2026-05-04 13:30:00,node-00,pre_deploy,0.8383,0.5165,20.808,950.82,0.2599,9,0.7988,52.9,1,train
163,2026-05-04 13:35:00,node-00,pre_deploy,0.3303,0.1794,18.405,227.37,0.0638,8,0.9207,40.88,0,train
164,2026-05-04 13:40:00,node-00,pre_deploy,0.4592,0.392,4.156,572.51,0.5667,10,0.9129,40.76,0,train
165,2026-05-04 13:45:00,node-00,pre_deploy,0.7036,0.6355,6.291,74.36,0.1143,2,0.9236,57.99,0,test
166,2026-05-04 13:50:00,node-00,pre_deploy,0.6708,0.5676,27.474,734.0,0.5232,18,0.7323,49.85,1,train
167,2026-05-04 13:55:00,node-00,pre_deploy,0.8105,0.6965,9.626,683.01,4.3407,20,0.9675,53.21,1,train
168,2026-05-04 14:00:00,node-00,pre_deploy,0.7161,0.7185,5.108,100.89,0.9838,3,0.949,44.99,0,train
169,2026-05-04 14:05:00,node-00,pre_deploy,0.6511,0.7656,9.172,195.73,0.7404,11,0.9473,40.96,0,train
170,2026-05-04 14:10:00,node-00,pre_deploy,0.8107,0.5464,7.028,1026.86,0.0747,9,0.8102,50.53,0,train
171,2026-05-04 14:15:00,node-00,pre_deploy,0.6631,0.5167,3.573,516.78,0.122,9,0.9305,49.13,0,test
172,2026-05-04 14:20:00,node-00,pre_deploy,0.6875,0.6858,8.718,797.97,0.4249,21,0.9781,45.83,0,val
173,2026-05-04 14:25:00,node-00,pre_deploy,0.6894,0.4983,21.224,440.47,0.9683,10,0.8277,53.0,1,train
174,2026-05-04 14:30:00,node-00,pre_deploy,0.8199,0.3793,9.642,1207.23,0.1052,12,0.9734,54.84,0,train
175,2026-05-04 14:35:00,node-00,pre_deploy,0.3677,0.3284,4.218,573.76,0.4832,10,0.9647,33.77,0,train
176,2026-05-04 14:40:00,node-00,pre_deploy,0.7279,0.7677,11.951,125.69,2.3497,10,0.9471,47.73,1,train
177,2026-05-04 14:45:00,node-00,pre_deploy,0.3521,0.0849,4.34,200.66,0.106,4,0.9537,48.06,0,val
178,2026-05-04 14:50:00,node-00,pre_deploy,0.5481,0.3576,7.824,245.34,0.228,9,0.9778,46.64,0,test
179,2026-05-04 14:55:00,node-00,pre_deploy,0.489,0.2157,13.476,100.49,1.7264,8,0.9982,47.53,0,val
180,2026-05-04 15:00:00,node-00,pre_deploy,0.6073,0.4697,7.658,118.45,1.0613,11,0.9806,51.65,0,val
181,2026-05-04 15:05:00,node-00,pre_deploy,0.7903,0.632,2.735,468.26,0.1763,3,0.8818,51.51,0,train
182,2026-05-04 15:10:00,node-00,pre_deploy,0.4795,0.4427,10.559,217.69,2.0329,13,0.8615,43.17,0,test
183,2026-05-04 15:15:00,node-00,pre_deploy,0.395,0.0613,9.952,247.21,2.803,2,0.8879,44.39,0,val
184,2026-05-04 15:20:00,node-00,pre_deploy,0.4696,0.4791,15.175,126.7,0.3281,10,0.9458,42.1,0,train
185,2026-05-04 15:25:00,node-00,pre_deploy,0.5783,0.2123,9.007,173.23,0.3025,7,0.9524,51.29,0,train
186,2026-05-04 15:30:00,node-00,pre_deploy,0.5833,0.2759,7.906,1017.57,0.078,7,0.8608,43.64,0,train
187,2026-05-04 15:35:00,node-00,pre_deploy,0.3914,0.5406,9.744,112.98,0.0586,10,0.9118,42.34,0,test
188,2026-05-04 15:40:00,node-00,pre_deploy,0.5262,0.2225,10.206,547.29,1.4786,10,0.8993,51.24,0,test
189,2026-05-04 15:45:00,node-00,pre_deploy,0.6865,0.5829,2.37,109.19,0.0079,5,0.8978,55.86,0,val
190,2026-05-04 15:50:00,node-00,pre_deploy,0.5735,0.3978,6.669,737.97,0.937,8,0.8891,41.96,1,val
191,2026-05-04 15:55:00,node-00,pre_deploy,0.7029,0.5681,2.771,1728.62,0.3751,9,0.7303,40.03,0,train
192,2026-05-04 16:00:00,node-00,pre_deploy,0.3545,0.2937,8.514,120.91,0.0889,11,0.8762,46.45,0,val
193,2026-05-04 16:05:00,node-00,pre_deploy,0.3489,0.1381,14.278,746.35,0.7315,13,0.9399,39.06,0,train
194,2026-05-04 16:10:00,node-00,pre_deploy,0.6335,0.5237,18.115,108.73,1.3361,7,0.8792,48.22,0,test
195,2026-05-04 16:15:00,node-00,pre_deploy,0.3388,0.6069,3.378,127.17,0.0021,7,0.9484,32.25,0,train
196,2026-05-04 16:20:00,node-00,pre_deploy,0.6755,0.5996,10.201,812.03,0.4027,18,0.8842,47.4,1,val
197,2026-05-04 16:25:00,node-00,pre_deploy,0.5494,0.3555,8.839,902.25,0.6861,19,0.973,44.36,0,test
198,2026-05-04 16:30:00,node-00,pre_deploy,0.4187,0.2898,6.546,130.58,0.3346,1,0.9109,37.33,0,test
199,2026-05-04 16:35:00,node-00,pre_deploy,0.4696,0.4083,11.238,669.19,0.9342,8,0.467,41.24,0,train
200,2026-05-04 16:40:00,node-00,pre_deploy,0.4527,0.2503,11.826,152.72,0.204,8,0.9964,42.79,0,train
201,2026-05-04 16:45:00,node-00,pre_deploy,0.6915,0.6307,6.999,1090.97,0.0476,19,0.9264,48.03,0,test
202,2026-05-04 16:50:00,node-00,pre_deploy,0.248,0.1682,11.252,94.88,0.2464,4,0.9565,34.82,0,val
203,2026-05-04 16:55:00,node-00,pre_deploy,0.415,0.4926,7.629,88.59,0.4591,10,0.9294,43.84,0,train
204,2026-05-04 17:00:00,node-00,pre_deploy,0.5172,0.5173,8.981,161.35,1.1899,5,0.9016,35.03,0,train
205,2026-05-04 17:05:00,node-00,pre_deploy,0.8017,0.3259,12.993,614.65,0.7463,15,0.9187,67.08,1,train
206,2026-05-04 17:10:00,node-00,pre_deploy,0.4417,0.1334,5.145,282.27,0.1003,8,0.996,52.45,0,train
207,2026-05-04 17:15:00,node-00,pre_deploy,0.6363,0.5277,4.507,426.74,1.2456,4,0.7761,44.87,0,train
208,2026-05-04 17:20:00,node-00,pre_deploy,0.8503,0.5131,3.409,693.69,1.517,1,0.9324,49.51,0,train
209,2026-05-04 17:25:00,node-00,pre_deploy,0.7735,0.3488,10.864,576.69,0.5038,4,0.9033,55.04,0,train
210,2026-05-04 17:30:00,node-00,pre_deploy,0.5139,0.4872,5.238,593.68,0.0256,8,0.9693,41.26,0,train
211,2026-05-04 17:35:00,node-00,pre_deploy,0.48,0.1432,5.777,432.36,0.2494,2,0.8749,46.97,0,train
212,2026-05-04 17:40:00,node-00,pre_deploy,0.8483,0.5643,13.155,853.33,0.564,8,0.7878,54.66,1,train
213,2026-05-04 17:45:00,node-00,pre_deploy,0.8197,0.5528,4.149,87.83,1.3232,0,0.9864,49.09,0,train
214,2026-05-04 17:50:00,node-00,pre_deploy,0.3042,0.2031,7.944,162.97,0.1082,8,0.8002,42.35,0,test
215,2026-05-04 17:55:00,node-00,pre_deploy,0.7533,0.704,8.674,989.83,0.6331,15,0.8995,44.13,1,train
216,2026-05-04 18:00:00,node-00,pre_deploy,0.5953,0.5015,6.732,629.38,0.064,10,0.9606,43.35,0,test
