row_id,region,cluster_id,instance_type,deploy_channel,os_image,cpu_util,mem_pressure,disk_latency_ms,request_rate_rps,error_rate_pct,queue_depth,cache_hit_ratio,node_age_days,power_draw_watts,incident,split
40,eu-west,eu-west-c23,t3.large,beta,ubuntu-22.04-v3,0.6431,0.2209,11.03,634.52,1.5335,7,0.9577,68.6,294.27,1,train
41,eu-west,eu-west-c08,m6i.large,beta,ubuntu-24.04-v2,0.318,0.1074,3.105,123.51,0.015,4,0.8624,275.3,232.6,0,val
42,ca-central,ca-central-c09,r6i.2xlarge,stable,debian-12-v3,0.7804,0.5752,5.978,865.37,0.3511,5,0.8295,703.2,416.82,0,train
43,us-east,us-east-c25,t3.large,beta,ubuntu-22.04-v3,0.5392,0.3658,8.558,619.12,0.0758,4,0.7783,68.5,274.64,0,val
44,me-central,me-central-c02,t3.large,stable,al2023-v1,0.7419,0.4183,7.091,1663.45,0.4406,13,0.8125,290.5,401.16,0,val
45,me-central,me-central-c02,m6i.large,beta,al2023-v1,0.9308,0.705,8.143,1717.47,1.4503,8,0.6953,27.2,404.93,0,val
46,eu-west,eu-west-c19,c6i.xlarge,canary,al2023-v3,0.4016,0.2441,6.079,867.14,0.1316,17,0.9094,86.3,336.11,0,train
47,eu-central,eu-central-c10,m6i.2xlarge,beta,ubuntu-22.04-v1,0.9302,0.6344,7.495,1314.97,0.3306,8,0.7775,64.9,436.28,0,val
48,us-west,us-west-c06,c6i.xlarge,stable,ubuntu-24.04-v2,0.4042,0.4552,8.15,223.28,0.9336,14,0.9532,1332.5,309.73,0,test
49,us-west,us-west-c06,m6i.large,beta,ubuntu-22.04-v2,0.2482,0.2381,13.977,101.02,0.8249,7,0.8209,447.0,237.91,0,val
50,eu-west,eu-west-c06,c6i.4xlarge,stable,ubuntu-22.04-v1,0.7758,0.4145,10.671,1309.55,0.9579,9,0.9288,996.3,452.04,0,train
51,ap-south,ap-south-c10,t3.large,stable,ubuntu-24.04-v1,0.5642,0.4714,7.293,204.39,1.3156,19,0.9665,54.8,311.72,0,train
52,us-east,us-east-c19,t3.large,canary,ubuntu-22.04-v1,0.8126,0.7685,10.737,176.3,0.5617,10,0.9701,1177.4,353.35,0,train
53,eu-central,eu-central-c10,c6i.4xlarge,stable,ubuntu-22.04-v3,0.6481,0.5272,8.553,124.52,1.3425,4,0.9048,98.9,346.18,0,train
54,af-south,af-south-c02,m6i.2xlarge,canary,ubuntu-22.04-v2,0.4746,0.6233,6.639,74.72,0.6793,3,0.9159,59.3,297.08,0,test
55,us-west,us-west-c06,c6i.xlarge,stable,ubuntu-22.04-v2,0.4497,0.2731,6.962,126.75,0.0116,10,0.9951,166.9,307.26,0,val
56,me-central,me-central-c02,c6i.4xlarge,stable,al2023-v3,0.7383,0.5036,7.25,779.2,0.0425,5,0.8479,686.0,418.41,0,train
57,ca-central,ca-central-c11,r6i.2xlarge,beta,ubuntu-24.04-v3,0.6825,0.5905,3.597,622.53,0.4609,5,0.7232,123.8,336.54,0,val
58,us-west,us-west-c05,m6i.large,stable,ubuntu-22.04-v1,0.298,0.5601,5.054,85.38,0.2668,7,0.8814,39.9,217.24,0,train
59,eu-west,eu-west-c25,m6i.2xlarge,stable,ubuntu-22.04-v1,0.6427,0.8308,14.311,157.68,0.9469,31,0.9873,1183.1,397.44,1,test
60,us-east,us-east-c14,r6i.2xlarge,stable,al2023-v1,0.7251,0.6058,2.082,400.78,0.5487,6,0.9663,140.4,371.8,0,train
61,eu-central,eu-central-c10,c6i.4xlarge,stable,debian-12-v2,0.6626,0.6619,6.252,717.98,0.0277,8,0.6222,72.7,404.53,0,train
62,ap-south,ap-south-c15,m6i.2xlarge,beta,ubuntu-24.04-v3,0.3877,0.4084,26.152,355.91,1.2596,7,0.8852,611.2,323.67,1,train
63,sa-east,sa-east-c07,m6i.2xlarge,stable,al2023-v2,0.5565,0.5674,4.395,661.49,0.0191,16,0.737,51.0,385.03,0,train
64,ap-south,ap-south-c08,m6i.large,stable,ubuntu-24.04-v3,0.5921,0.2496,11.831,1060.27,2.4503,15,0.846,65.9,354.81,0,val
65,us-east,us-east-c21,t3.large,stable,ubuntu-22.04-v3,0.4019,0.2421,4.627,1158.49,0.0907,15,0.9233,163.6,332.7,1,val
66,ap-northeast,ap-northeast-c12,t3.large,canary,al2023-v1,0.4234,0.2342,5.208,843.36,0.3547,15,0.9251,148.6,307.92,1,train
67,ap-northeast,ap-northeast-c10,m6i.large,stable,al2023-v2,0.5324,0.3349,21.328,796.43,0.581,27,0.9824,1037.4,347.32,0,train
68,ca-central,ca-central-c06,t3.large,stable,ubuntu-22.04-v3,0.5976,0.5516,4.867,717.13,0.2577,10,0.7724,120.1,333.58,0,train
69,ap-northeast,ap-northeast-c09,m6i.large,stable,ubuntu-22.04-v1,0.1701,0.0866,17.21,66.29,2.0409,6,0.9681,229.5,213.68,0,val
70,af-south,af-south-c04,m6i.large,beta,ubuntu-22.04-v3,0.3686,0.3545,4.447,72.9,0.0046,2,0.9507,84.4,290.52,0,train
71,eu-west,eu-west-c19,c6i.xlarge,beta,ubuntu-22.04-v1,0.6767,0.752,12.21,927.89,0.3297,22,0.7895,297.8,444.1,1,train
72,sa-east,sa-east-c07,m6i.2xlarge,beta,ubuntu-22.04-v3,0.4448,0.566,3.713,919.73,0.3958,29,0.9191,99.4,408.32,0,val
73,eu-central,eu-central-c01,t3.large,beta,ubuntu-22.04-v1,0.8101,0.5568,13.171,807.65,0.1208,12,0.8878,106.6,384.77,1,train
74,us-east,us-east-c14,m6i.large,stable,ubuntu-24.04-v2,0.5795,0.4388,6.751,402.6,0.0878,7,0.8284,125.1,319.55,0,test
75,eu-west,eu-west-c25,c6i.xlarge,beta,al2023-v2,0.2157,0.2358,19.572,86.94,0.4401,7,0.8768,133.3,272.51,0,train
76,us-west,us-west-c01,t3.large,beta,debian-12-v3,0.622,0.4716,9.668,1157.77,1.0545,23,0.9575,188.6,395.12,1,val
77,ap-south,ap-south-c07,m6i.large,stable,debian-12-v1,0.4428,0.3864,6.688,131.81,0.7634,16,0.9972,382.5,330.59,1,train
78,ca-central,ca-central-c13,c6i.xlarge,stable,ubuntu-22.04-v3,0.572,0.5197,9.607,113.64,0.085,8,0.9473,443.0,274.31,0,train
79,af-south,af-south-c06,m6i.2xlarge,stable,ubuntu-22.04-v3,0.7466,0.612,10.691,155.72,1.3978,6,0.9025,243.8,330.7,0,val
80,us-east,us-east-c22,m6i.large,stable,al2023-v2,0.3743,0.4196,2.856,67.67,0.0909,3,0.9812,78.6,244.01,0,train
81,us-east,us-east-c01,m6i.large,beta,ubuntu-24.04-v1,0.4735,0.3622,14.193,446.46,0.4249,12,0.8967,859.0,296.15,0,val
82,us-east,us-east-c04,t3.large,stable,ubuntu-22.04-v2,0.4488,0.5004,2.253,99.42,0.0006,2,0.8253,52.3,276.84,0,val
83,ca-central,ca-central-c13,m6i.2xlarge,beta,ubuntu-24.04-v2,0.3322,0.2224,4.151,104.9,0.1234,4,0.9303,101.7,266.07,0,train
84,ap-south,ap-south-c10,r6i.2xlarge,beta,ubuntu-22.04-v3,0.5163,0.2074,9.711,567.99,1.3745,8,0.9396,145.2,352.53,1,val
85,us-west,us-west-c05,c6i.4xlarge,stable,debian-12-v3,0.6946,0.441,6.144,366.08,1.365,4,0.9319,188.1,375.26,0,test
86,eu-central,eu-central-c01,m6i.large,stable,ubuntu-24.04-v1,0.7577,0.5085,18.574,447.36,0.4136,7,0.934,169.0,296.45,0,test
87,us-west,us-west-c06,m6i.large,stable,debian-12-v2,0.659,0.5884,7.958,692.89,0.0638,18,0.9785,142.1,382.75,0,test
88,eu-west,eu-west-c19,m6i.2xlarge,stable,ubuntu-22.04-v3,0.5935,0.6486,11.218,72.92,0.4249,3,0.955,1099.2,310.77,0,train
89,eu-central,eu-central-c12,c6i.xlarge,stable,ubuntu-24.04-v2,0.4927,0.4514,8.577,123.99,1.457,9,0.9021,301.8,297.07,0,test
90,af-south,af-south-c05,m6i.large,beta,ubuntu-22.04-v2,0.6018,0.537,14.27,608.25,0.8182,18,0.856,924.0,362.71,1,test
91,ap-south,ap-south-c08,r6i.2xlarge,stable,ubuntu-24.04-v2,0.5728,0.263,12.762,689.67,1.0953,8,0.975,1047.4,341.38,0,test
92,ap-south,ap-south-c12,m6i.large,beta,ubuntu-24.04-v3,0.6663,0.4319,8.168,905.43,0.2448,10,0.7206,121.9,335.04,0,test
93,us-west,us-west-c06,c6i.xlarge,canary,debian-12-v3,0.8917,0.6578,5.947,1078.14,0.0196,7,0.8638,832.5,407.45,1,val
94,ap-northeast,ap-northeast-c12,c6i.xlarge,stable,ubuntu-24.04-v3,0.5089,0.1706,4.01,827.54,0.1156,6,0.8174,991.2,319.09,0,train
95,us-west,us-west-c05,m6i.large,beta,ubuntu-22.04-v2,0.6681,0.6474,6.482,377.06,0.4591,5,0.6686,415.9,303.22,1,test
96,eu-west,eu-west-c09,c6i.4xlarge,stable,ubuntu-22.04-v2,0.6624,0.5205,6.096,705.9,0.0326,7,0.8785,150.5,362.92,0,train
97,eu-west,eu-west-c01,c6i.xlarge,canary,al2023-v3,0.4275,0.2588,3.872,111.3,0.4571,3,0.8974,228.7,270.25,0,train
98,ap-south,ap-south-c08,t3.large,stable,debian-12-v3,0.452,0.3866,16.764,87.47,0.2206,3,0.8805,140.4,271.77,0,train
99,eu-west,eu-west-c19,t3.large,stable,ubuntu-22.04-v1,0.8378,0.743,11.691,1223.16,0.464,24,0.9116,1006.0,413.31,1,train
100,af-south,af-south-c05,t3.large,beta,ubuntu-22.04-v2,0.6137,0.6557,5.354,96.04,0.1809,4,0.9302,976.1,289.42,0,train
101,ap-south,ap-south-c08,t3.large,stable,debian-12-v2,0.7215,0.7593,10.094,625.18,0.5358,13,0.7378,306.2,344.2,1,train
102,ca-central,ca-central-c02,c6i.xlarge,stable,ubuntu-22.04-v2,0.3627,0.4699,5.474,205.27,0.2971,18,0.8544,95.6,337.18,0,test
103,af-south,af-south-c06,c6i.xlarge,beta,ubuntu-22.04-v3,0.4738,0.3129,9.489,702.76,0.0362,15,0.997,694.1,353.99,0,val
104,eu-west,eu-west-c23,c6i.4xlarge,stable,ubuntu-22.04-v2,0.6141,0.4205,15.874,367.9,1.0125,7,0.9445,1271.0,382.37,0,train
105,ca-central,ca-central-c06,t3.large,stable,ubuntu-24.04-v2,0.5878,0.3526,5.847,609.76,0.0115,6,0.9474,1078.5,318.85,0,test
106,eu-central,eu-central-c01,m6i.2xlarge,stable,ubuntu-24.04-v3,0.5882,0.522,7.36,129.89,0.6554,5,0.6803,97.8,322.93,0,test
107,me-central,me-central-c02,m6i.2xlarge,stable,ubuntu-24.04-v3,0.6218,0.7465,7.835,71.34,0.6816,5,0.9423,881.4,331.56,0,train
108,us-east,us-east-c04,c6i.4xlarge,stable,debian-12-v3,0.5892,0.5381,14.569,110.46,0.0788,6,0.9426,152.5,343.15,0,train
109,ap-northeast,ap-northeast-c01,c6i.4xlarge,stable,debian-12-v2,0.5184,0.5882,12.119,958.35,0.1912,24,0.8647,49.0,425.14,0,train
110,us-east,us-east-c15,c6i.xlarge,canary,ubuntu-22.04-v3,0.2872,0.3921,4.056,173.73,0.0015,13,0.9105,302.6,284.4,0,train
111,ap-northeast,ap-northeast-c10,t3.large,stable,debian-12-v2,0.2607,0.3818,7.793,144.9,0.1054,13,0.8834,1150.7,278.16,0,train
112,us-west,us-west-c21,c6i.4xlarge,stable,ubuntu-22.04-v1,0.8611,0.3894,10.656,1214.67,0.0381,4,0.8579,110.8,453.25,0,val
113,sa-east,sa-east-c00,m6i.2xlarge,stable,ubuntu-22.04-v3,0.4055,0.5942,4.001,48.51,2.4574,1,0.9428,1492.3,265.29,1,train
114,ap-northeast,ap-northeast-c12,m6i.2xlarge,stable,ubuntu-24.04-v3,0.5239,0.374,4.812,736.23,0.4902,9,0.8763,913.7,342.5,0,test
115,us-east,us-east-c20,c6i.4xlarge,stable,ubuntu-22.04-v3,0.5489,0.2614,38.551,190.33,0.4733,6,0.9408,845.5,331.75,1,train
116,eu-west,eu-west-c08,c6i.xlarge,stable,ubuntu-22.04-v1,0.409,0.2945,6.579,880.4,0.5467,12,0.8806,84.1,339.46,0,train
117,sa-east,sa-east-c00,m6i.large,stable,debian-12-v2,0.8858,0.8759,8.76,329.42,1.4136,5,0.8384,1069.1,353.22,0,train
118,us-west,us-west-c06,m6i.2xlarge,stable,al2023-v2,0.3036,0.2209,12.307,626.02,0.2273,14,0.7531,129.6,340.92,1,test
119,eu-west,eu-west-c19,t3.large,stable,ubuntu-24.04-v1,0.701,0.3345,3.873,200.15,1.0658,5,0.9865,110.2,289.37,0,train
120,eu-west,eu-west-c19,t3.large,stable,al2023-v1,0.5966,0.2691,6.539,1487.03,0.742,17,0.8205,991.4,369.53,0,val
121,ap-northeast,ap-northeast-c10,c6i.xlarge,stable,debian-12-v3,0.6772,0.4524,4.297,632.22,0.3608,4,0.9385,73.7,313.78,0,test
122,ap-south,ap-south-c08,c6i.xlarge,stable,ubuntu-22.04-v2,0.5612,0.3451,11.193,824.12,0.8047,7,0.7656,166.7,350.28,0,train
123,eu-west,eu-west-c13,r6i.2xlarge,stable,al2023-v2,0.5647,0.6001,8.247,140.32,0.1182,9,0.9506,62.7,368.78,0,train
124,me-central,me-central-c02,c6i.xlarge,stable,ubuntu-22.04-v2,0.5687,0.4758,7.542,126.47,0.1547,7,0.9408,145.9,319.88,0,train
125,eu-west,eu-west-c22,m6i.large,stable,ubuntu-22.04-v1,0.5017,0.3973,8.884,128.38,1.0465,10,0.7817,247.3,269.29,0,train
126,eu-central,eu-central-c01,r6i.2xlarge,stable,ubuntu-22.04-v1,0.5861,0.5112,3.052,669.59,0.0973,9,0.8018,291.7,358.54,0,train
127,ap-northeast,ap-northeast-c00,m6i.large,stable,ubuntu-22.04-v1,0.6568,0.662,17.289,834.05,2.8223,23,0.8272,953.1,364.13,0,train
128,ap-south,ap-south-c08,m6i.2xlarge,stable,debian-12-v2,0.667,0.3955,3.551,574.76,0.0799,1,0.6167,987.3,328.8,0,train
129,us-east,us-east-c15,m6i.large,stable,al2023-v1,0.4414,0.1254,12.393,300.37,0.0229,3,0.8166,437.9,282.52,0,train
130,af-south,af-south-c05,r6i.2xlarge,stable,ubuntu-24.04-v3,0.1048,0.1451,17.933,58.78,0.1007,6,0.9929,193.8,252.92,1,train
131,af-south,af-south-c06,m6i.2xlarge,stable,ubuntu-22.04-v1,0.7739,0.5896,11.531,144.0,0.6073,5,0.9476,207.2,363.53,0,train
132,af-south,af-south-c06,r6i.2xlarge,stable,ubuntu-24.04-v3,0.7286,0.4306,10.913,523.38,0.7753,6,0.7847,236.4,391.52,0,train
133,ap-northeast,ap-northeast-c02,t3.large,stable,ubuntu-22.04-v3,0.293,0.3127,6.891,71.36,0.2736,4,0.9497,1371.3,191.65,0,train
134,us-east,us-east-c01,m6i.large,stable,ubuntu-24.04-v2,0.6455,0.4607,18.93,185.05,0.2436,5,0.9233,70.7,274.62,0,train
135,us-east,us-east-c13,m6i.large,stable,ubuntu-22.04-v3,0.54,0.4837,15.041,107.41,0.0321,15,0.9837,59.3,300.93,0,train
136,us-west,us-west-c06,m6i.large,stable,debian-12-v2,0.665,0.4355,9.544,148.93,0.1843,3,0.8321,948.4,303.61,0,train
137,eu-west,eu-west-c03,c6i.4xlarge,beta,ubuntu-22.04-v3,0.5107,0.4409,13.052,608.83,0.5762,19,0.8288,105.0,396.81,0,train
138,sa-east,sa-east-c00,t3.large,stable,ubuntu-22.04-v1,0.7209,0.4813,17.16,1001.64,0.1813,18,0.9549,126.6,389.16,1,val
139,ap-northeast,ap-northeast-c02,m6i.2xlarge,stable,ubuntu-22.04-v2,0.592,0.3381,11.784,175.99,0.586,4,0.9408,142.7,352.86,0,train
140,us-east,us-east-c14,m6i.large,stable,debian-12-v3,0.7815,0.674,2.407,1259.22,1.1308,14,0.7381,106.9,383.55,1,train
141,us-east,us-east-c13,t3.large,beta,debian-12-v2,0.8159,0.597,11.553,994.76,0.0853,5,0.8007,1064.7,338.45,0,train
142,eu-west,eu-west-c25,m6i.large,beta,ubuntu-22.04-v1,0.7597,0.6431,7.595,1045.08,0.4431,18,0.8009,755.1,415.03,0,train
143,ca-central,ca-central-c09,c6i.4xlarge,stable,ubuntu-24.04-v3,0.5861,0.447,6.331,804.89,0.023,9,0.9071,120.1,408.63,0,train
144,us-west,us-west-c05,t3.large,canary,al2023-v2,0.679,0.324,5.771,861.08,0.5761,4,0.932,103.7,358.92,0,val
145,us-east,us-east-c25,c6i.xlarge,beta,ubuntu-22.04-v3,0.4651,0.46,11.953,278.95,1.4634,13,0.9037,96.7,272.84,0,val
146,ap-south,ap-south-c12,m6i.large,stable,al2023-v3,0.7322,0.6803,9.907,117.02,1.5748,4,0.9091,117.2,293.51,0,test
147,eu-central,eu-central-c01,m6i.2xlarge,stable,ubuntu-22.04-v1,0.5657,0.2825,17.426,666.08,1.8881,12,0.8511,201.8,361.64,1,train
148,ap-south,ap-south-c15,r6i.2xlarge,canary,al2023-v2,0.8851,0.6134,6.219,1072.46,0.4367,8,0.9192,127.5,419.77,0,test
149,ca-central,ca-central-c11,m6i.large,beta,debian-12-v3,0.507,0.693,22.06,138.57,0.4041,18,0.9478,267.1,320.51,0,val
150,us-west,us-west-c06,c6i.xlarge,beta,ubuntu-22.04-v1,0.8493,0.8605,14.236,84.67,1.9523,6,0.9352,255.6,345.68,0,val
151,af-south,af-south-c06,t3.large,beta,al2023-v2,0.6412,0.3879,27.128,487.49,0.5164,11,0.9233,147.1,324.61,0,test
152,us-west,us-west-c04,m6i.large,stable,ubuntu-22.04-v3,0.2935,0.1982,7.496,121.23,0.7046,7,0.9642,162.9,240.7,0,val
153,me-central,me-central-c02,r6i.2xlarge,stable,ubuntu-22.04-v2,0.7463,0.4294,12.039,561.37,0.2624,8,0.912,184.1,392.02,0,test
154,ca-central,ca-central-c07,m6i.large,stable,al2023-v2,0.4393,0.3101,11.052,806.43,0.659,24,0.9679,693.6,357.15,1,test
155,me-central,me-central-c01,c6i.xlarge,stable,debian-12-v2,0.29,0.1585,3.827,401.17,1.5356,11,0.9871,182.0,276.83,0,train
156,us-west,us-west-c06,m6i.large,stable,debian-12-v1,0.8313,0.4573,4.057,950.67,0.0857,3,0.9594,51.0,322.41,0,train
157,us-east,us-east-c21,c6i.xlarge,beta,debian-12-v2,0.5036,0.4642,14.368,68.69,0.005,3,0.9807,919.3,294.39,0,val
158,us-east,us-east-c21,m6i.large,stable,al2023-v1,0.534,0.5142,10.898,110.99,0.2707,7,0.9483,170.8,288.23,0,test
159,eu-west,eu-west-c00,m6i.2xlarge,beta,ubuntu-22.04-v1,0.2547,0.2344,3.354,112.16,0.0055,5,0.8449,48.4,262.63,0,train
160,us-east,us-east-c07,c6i.xlarge,stable,ubuntu-24.04-v2,0.6476,0.6712,6.614,801.88,1.3173,13,0.8183,196.0,376.53,0,train
161,ca-central,ca-central-c09,c6i.xlarge,stable,ubuntu-22.04-v3,0.4394,0.1828,4.457,960.23,1.1249,7,0.8506,53.5,344.24,0,train
162,eu-west,eu-west-c22,m6i.large,stable,ubuntu-24.04-v2,0.594,0.3123,7.774,869.77,0.9978,11,0.7944,715.3,373.81,0,train
163,ap-south,ap-south-c12,c6i.xlarge,stable,ubuntu-22.04-v1,0.6789,0.4343,14.069,318.69,2.202,5,0.9443,933.3,329.77,0,train
164,us-west,us-west-c06,c6i.xlarge,stable,ubuntu-22.04-v3,0.58,0.3727,14.027,817.6,0.6857,8,0.7727,121.3,353.06,0,val
165,ap-northeast,ap-northeast-c01,m6i.large,canary,ubuntu-24.04-v1,0.5906,0.4822,5.563,858.42,0.56,9,0.8058,182.8,362.36,0,val
166,us-west,us-west-c06,c6i.4xlarge,stable,debian-12-v3,0.4244,0.5272,6.309,109.92,0.4339,9,0.8624,131.4,329.53,0,train
167,eu-central,eu-central-c05,c6i.xlarge,canary,ubuntu-22.04-v3,0.6539,0.5569,19.532,1008.68,0.1224,23,0.7626,1273.7,389.61,0,train
168,af-south,af-south-c01,m6i.2xlarge,stable,debian-12-v2,0.5559,0.3818,14.384,731.86,0.8015,10,0.8517,1415.1,376.28,0,train
169,us-west,us-west-c01,m6i.2xlarge,stable,ubuntu-24.04-v3,0.6846,0.5721,7.89,816.37,0.0059,10,0.7189,149.2,386.62,1,train
170,eu-west,eu-west-c25,m6i.2xlarge,stable,ubuntu-22.04-v3,0.727,0.8233,12.717,752.32,0.548,20,0.9165,1073.5,409.83,1,train
171,ca-central,ca-central-c11,r6i.2xlarge,canary,ubuntu-24.04-v1,0.6563,0.6639,18.856,126.75,0.4106,6,0.9174,1425.4,338.67,1,train
172,eu-west,eu-west-c10,m6i.2xlarge,stable,ubuntu-22.04-v1,0.5207,0.5969,11.85,106.81,0.2487,9,0.9643,134.9,304.38,0,train
173,ap-south,ap-south-c08,m6i.large,stable,ubuntu-24.04-v3,0.6694,0.447,9.182,618.76,0.7401,8,0.8795,185.3,308.64,0,train
174,us-east,us-east-c22,c6i.xlarge,beta,al2023-v1,0.4533,0.4271,13.161,508.02,0.1557,26,0.9859,129.0,386.73,0,train
